,gene_name,gene_category
chr11:83164481:83164673:+@chr11:83178297:83178338:+@chr11:83179149:83179299:+,AP2B1,
chr11:93973347:93973460:+@chr11:93974577:93974615:+@chr11:93975487:93975663:+,SPAG9,
chr11:95138783:95138929:-@chr11:95137757:95137863:-@chr11:95135569:95137201:-,MYST2,
chr12:107308735:107308825:+@chr12:107311829:107311888:+@chr12:107313217:107315636:+,VRK1,
chr12:31589934:31590007:-@chr12:31589735:31589848:-@chr12:31589583:31589696:-@chr12:31582610:31582671:-,ACP1,
chr12:8227406:8227561:+@chr12:8234026:8234169:+@chr12:8275170:8275404:+,1110057K04RIK,
chr12:8735662:8735955:+@chr12:8740079:8740315:+@chr12:8750567:8750838:+,PUM2,
chr12:87609926:87610011:+@chr12:87622399:87622493:+@chr12:87629750:87635622:+,1700020O03RIK,
chr13:104623578:104625108:-@chr13:104620268:104620411:-@chr13:104617987:104618103:-,ERBB2IP,
chr13:23454672:23455079:-@chr13:23454449:23454523:-@chr13:23444972:23449582:-,ZFP322A,
chr13:51858621:51858689:-@chr13:51829876:51829939:-@chr13:51820593:51820911:-,SEMA4D,
chr13:54666543:54666796:-@chr13:54665546:54665633:-@chr13:54662661:54663232:-,4833439L19RIK,
chr13:56197485:56197595:-@chr13:56191119:56191218:-@chr13:56189613:56189703:-@chr13:56185557:56185646:-,H2AFY,
chr13:59883379:59886735:-@chr13:59880113:59880176:-@chr13:59872870:59874220:-,ETOHD2,
chr13:89851810:89852103:-@chr13:89842523:89845402:-@chr13:89827890:89833106:-,VCAN,LPS Response
chr13:91940216:91940621:-@chr13:91938428:91938496:-@chr13:91935645:91936859:-,ZCCHC9,
chr14:105512686:105512930:-@chr14:105511536:105511619:-@chr14:105505945:105509019:-,GM17066,
chr14:13130096:13130170:+@chr14:13132236:13132296:+@chr14:13133662:13135745:+,3830406C13RIK,
chr14:26477593:26477759:+@chr14:26480753:26481007:+@chr14:26482426:26486233:+,ZMIZ1,
chr14:52723564:52723703:-@chr14:52716997:52718219:-@chr14:52703544:52704066:-,HNRNPC,
chr14:52723564:52723703:-@chr14:52717690:52717715:-@chr14:52703544:52704066:-,HNRNPC,
chr15:50653651:50654254:-@chr15:50597051:50597083:-@chr15:50496233:50496355:-,TRPS1,Housekeeping
chr15:78435290:78436343:+@chr15:78437387:78437505:+@chr15:78438556:78438636:+,CYTH4,
chr15:83212192:83212313:-@chr15:83210114:83210236:-@chr15:83209429:83209625:-,PACSIN2,
chr16:20540406:20540488:+@chr16:20540881:20540886:+@chr16:20541048:20541183:+,AP2M1,
chr16:23111890:23111969:+@chr16:23112424:23112530:+@chr16:23113240:23114378:+,EIF4A2,
chr16:23111890:23111969:+@chr16:23112424:23112534:+@chr16:23113240:23114378:+,EIF4A2,
chr16:27435648:27435763:+@chr16:27436454:27436498:+@chr16:27436584:27436688:+,CCDC50,
chr16:30322958:30323038:-@chr16:30321892:30321981:-@chr16:30312488:30315987:-,ATP13A3,
chr16:35941119:35941221:+@chr16:35943455:35943596:+@chr16:35947587:35948440:+,PARP9,LPS Response
chr16:5037012:5037150:-@chr16:5036329:5036568:-@chr16:5031980:5032066:-,GLYR1,
chr16:85043821:85043988:-@chr16:85040496:85040552:-@chr16:85030477:85030610:-,APP,
chr17:26380951:26381252:-@chr17:26362857:26362968:-@chr17:26357226:26357525:-,ITFG3,
chr17:26380951:26381252:-@chr17:26362873:26362968:-@chr17:26357226:26357525:-,ITFG3,
chr17:29089379:29089514:+@chr17:29094824:29095002:+@chr17:29098359:29098632:+,KCTD20,
chr17:34133772:34134813:-@chr17:34133561:34133599:-@chr17:34132958:34133421:-,H2-K1,
chr17:36051279:36051347:-@chr17:36048364:36048423:-@chr17:36047324:36047901:-,MRPS18B,
chr17:6028419:6028586:+@chr17:6029700:6029834:+@chr17:6032697:6032944:+,SYNJ2,
chr18:34769459:34769603:-@chr18:34768072:34768281:-@chr18:34767429:34767709:-,BRD8,
chr18:34770786:34770922:-@chr18:34770064:34770282:-@chr18:34768072:34769603:-,BRD8,
chr18:80935392:80935595:-@chr18:80933551:80933583:-@chr18:80930882:80932888:-,ATP9B,
chr1:88423296:88425819:+@chr1:88426031:88426131:+@chr1:88426306:88426996:+,PTMA,
chr19:10651646:10652573:+@chr19:10653472:10653564:+@chr19:10654953:10655052:+,CYBASC3,
chr19:4792398:4792820:-@chr19:4787361:4788042:-@chr19:4784062:4785567:-,RBM4,
chr19:7064171:7064355:-@chr19:7063913:7064074:-@chr19:7062679:7062765:-,DNAJC4,
chr19:7064171:7064355:-@chr19:7063913:7064077:-@chr19:7062679:7062765:-,DNAJC4,
chr19:8094045:8094253:+@chr19:8106122:8106227:+@chr19:8107617:8108568:+,,
chr2:119456073:119456241:+@chr2:119459456:119459554:+@chr2:119461214:119461323:+,NUSAP1,
chr2:120371579:120371640:-@chr2:120359247:120361415:-@chr2:120357331:120357958:-,ZFP106,
chr2:125980277:125980596:+@chr2:125984146:125984289:+@chr2:125985506:125985764:+,DTWD1,
chr2:130101990:130102594:+@chr2:130102768:130103050:+@chr2:130103212:130103706:+,NOP56,
chr2:151326451:151326525:+@chr2:151328191:151328196:+@chr2:151328750:151329159:+,NSFL1C,
chr2:156003072:156003642:-@chr2:155999833:155999904:-@chr2:155998141:155998758:-,RBM39,
chr2:156927457:156927594:-@chr2:156927057:156927179:-@chr2:156923265:156925239:-,SAMHD1,LPS Response
chr2:164658371:164658696:+@chr2:164659224:164659350:+@chr2:164659530:164659931:+,NEURL2,
chr2:166761423:166761526:+@chr2:166762842:166762939:+@chr2:166765135:166765285:+,CSE1L,
chr2:181236610:181236758:+@chr2:181237581:181237640:+@chr2:181242871:181242972:+,TPD52L2,
chr2:22812538:22812638:-@chr2:22808955:22809128:-@chr2:22802096:22802281:-,ABI1,
chr2:22812538:22812638:-@chr2:22808955:22809131:-@chr2:22802096:22802281:-,ABI1,
chr2:22826603:22826779:-@chr2:22818734:22818748:-@chr2:22817921:22818021:-,ABI1,
chr2:27309833:27310024:-@chr2:27308920:27308970:-@chr2:27308353:27308594:-,BRD3,
chr2:28549144:28549346:-@chr2:28548432:28548579:-@chr2:28547599:28547672:-,1700026L06RIK,
chr2:32082465:32082556:+@chr2:32084783:32084864:+@chr2:32086131:32090161:+,PRRC2B,
chr2:44968343:44968799:-@chr2:44966540:44966690:-@chr2:44964669:44965677:-,GM13476,
chr2:4527016:4527112:+@chr2:4529045:4529116:+@chr2:4532013:4535427:+,FRMD4A,LPS Response
chr2:51807962:51808148:-@chr2:51805504:51805610:-@chr2:51804008:51804296:-,NMI,LPS Response
chr2:91612448:91613904:+@chr2:91645181:91645267:+@chr2:91650187:91651126:+,AMBRA1,
chr3:102843856:102843965:+@chr3:102844364:102844456:+@chr3:102845068:102845165:+,CSDE1,
chr3:142170879:142171060:+@chr3:142181084:142182023:+@chr3:142184004:142185308:+,GBP5,LPS Response
chr3:142222990:142223247:+@chr3:142223460:142223654:+@chr3:142224704:142224899:+,GBP3,LPS Response
chr3:153573225:153573852:-@chr3:153573028:153573125:-@chr3:153571754:153572562:-,RABGGTB,
chr3:157703395:157703586:+@chr3:157704550:157704623:+@chr3:157706525:157706654:+,LRRC40,
chr3:5563165:5563272:-@chr3:5562669:5562732:-@chr3:5560498:5561764:-,PXMP3,
chr3:58934416:58934546:-@chr3:58920110:58920213:-@chr3:58918540:58919983:-,P2RY14,LPS Response
chr3:65760775:65760884:-@chr3:65759052:65759198:-@chr3:65752814:65755476:-,CCNL1,
chr3:68833323:68833449:+@chr3:68834165:68834354:+@chr3:68835330:68835474:+,SMC4,
chr3:79399124:79399230:+@chr3:79400014:79400120:+@chr3:79401607:79402836:+,PPID,
chr4:115747521:115747691:-@chr4:115743273:115743362:-@chr4:115742414:115742629:-,UQCRH,
chr4:131766667:131766746:-@chr4:131761429:131761630:-@chr4:131740827:131742862:-,YTHDF2,
chr4:132099225:132100037:+@chr4:132100572:132100666:+@chr4:132102552:132102623:+,DNAJC8,
chr4:41318758:41318882:+@chr4:41325980:41326903:+@chr4:41334208:41334390:+,UBAP1,
chr4:41687649:41687922:-@chr4:41687419:41687515:-@chr4:41685364:41686453:-,SIGMAR1,
chr4:45421567:45421641:-@chr4:45417599:45417707:-@chr4:45408777:45413051:-,MCART1,
chr5:100391534:100391631:-@chr5:100391117:100391223:-@chr5:100384954:100390352:-,HNRNPD,
chr5:100393003:100393102:-@chr5:100392750:100392896:-@chr5:100391124:100391631:-,HNRNPD,
chr5:105479883:105480090:-@chr5:105470872:105470999:-@chr5:105460229:105460338:-,GBP8,
chr5:111812008:111812130:+@chr5:111814540:111814624:+@chr5:111815523:111817381:+,PITPNB,
chr5:121357303:121357543:-@chr5:121355605:121355893:-@chr5:121335782:121336070:-@chr5:121331833:121332078:-,OAS1G,LPS Response
chr5:20311473:20311631:-@chr5:20309003:20309168:-@chr5:20307720:20307884:-,PHTF2,
chr5:31260261:31260730:-@chr5:31258635:31258707:-@chr5:31253227:31258110:-,PREB,
chr5:73695774:73695923:+@chr5:73697817:73697992:+@chr5:73704682:73705323:+,OCIAD1,
chr6:123180522:123180611:+@chr6:123182111:123182212:+@chr6:123185462:123185613:+,CLEC4N,
chr6:13788560:13789179:-@chr6:13787999:13788122:-@chr6:13785068:13787073:-,GPR85,
chr6:142442620:142442737:-@chr6:142441013:142441136:-@chr6:142438767:142439124:-,LDHB,
chr6:29306471:29306697:+@chr6:29311294:29311487:+@chr6:29311560:29311753:+@chr6:29316040:29316206:+,CALU,
chr6:38543378:38543469:+@chr6:38548785:38548814:+@chr6:38553277:38557212:+,LUC7L2,
chr6:42300945:42301147:+@chr6:42301274:42301361:+@chr6:42301474:42301968:+,ZYX,
chr6:50296327:50296430:-@chr6:50296010:50296102:-@chr6:50294873:50295029:-,OSBPL3,
chr6:51413410:51413492:-@chr6:51411919:51412054:-@chr6:51410870:51411432:-,HNRNPA2B1,
chr6:51419670:51420485:-@chr6:51417390:51417425:-@chr6:51417184:51417294:-,HNRNPA2B1,
chr6:71802268:71802861:+@chr6:71803167:71803262:+@chr6:71806906:71807042:+,IMMT,
chr6:71802268:71802861:+@chr6:71803173:71803262:+@chr6:71806906:71807042:+,IMMT,
chr6:71813135:71813264:+@chr6:71816720:71816734:+@chr6:71818574:71818863:+,IMMT,
chr6:72499267:72499495:+@chr6:72499724:72499862:+@chr6:72505267:72505629:+,CAPG,
chr7:104713661:104713810:-@chr7:104706641:104706736:-@chr7:104698841:104699251:-,1810020D17RIK,
chr7:134564919:134565541:-@chr7:134563524:134563619:-@chr7:134562478:134563155:-,ZFP688,
chr7:137650996:137651213:-@chr7:137648208:137648336:-@chr7:137647236:137647364:-@chr7:137625197:137625229:-,ATE1,
chr7:139834170:139834262:+@chr7:139841941:139842032:+@chr7:139897275:139898333:+,LHPP,
chr7:150706289:150706345:-@chr7:150704755:150704790:-@chr7:150699481:150700542:-,NAP1L4,
chr7:151666990:151667155:-@chr7:151664932:151665002:-@chr7:151662658:151663894:-,PPFIA1,LPS Response
chr7:30879813:30880230:+@chr7:30884547:30884741:+@chr7:30889249:30892847:+,ZFP260,
chr7:35136305:35136536:-@chr7:35132945:35133001:-@chr7:35129656:35130977:-,LSM14A,
chr7:71537493:71537729:+@chr7:71545055:71545230:+@chr7:71556721:71557010:+,MCEE,
chr7:86290133:86290264:-@chr7:86288164:86288274:-@chr7:86287755:86287936:-,MFGE8,
chr7:87457918:87458017:+@chr7:87458413:87458454:+@chr7:87460000:87461202:+,PRC1,
chr8:107852222:107852358:+@chr8:107852508:107852547:+@chr8:107852672:107852957:+,TMEM208,
chr8:13369459:13369580:+@chr8:13370172:13370274:+@chr8:13370481:13371022:+,TFDP1,
chr8:20020170:20020414:-@chr8:20006102:20006307:-@chr8:20000381:20000997:-,2610005L07RIK,
chr8:28264618:28265407:-@chr8:28262069:28263631:-@chr8:28261167:28261275:-,RAB11FIP1,
chr8:64434912:64435067:+@chr8:64436842:64436947:+@chr8:64437358:64437473:+,DDX60,LPS Response
chr8:73779907:73780019:-@chr8:73779546:73779611:-@chr8:73779306:73779464:-,HAUS8,
chr8:77523459:77523790:+@chr8:77523898:77524012:+@chr8:77524549:77526351:+,HMGXB4,
chr8:87396134:87396731:+@chr8:87407330:87407483:+@chr8:87409834:87410022:+,SYCE2,
chr8:91220926:91220998:+@chr8:91226204:91226337:+@chr8:91229125:91229778:+,CYLD,
chr8:97356415:97356600:-@chr8:97355689:97355825:-@chr8:97353054:97353130:-@chr8:97352177:97352339:-,CIAPIN1,
chr9:117968175:117968293:+@chr9:117968738:117968784:+@chr9:117970832:117975071:+,CMC1,
chr9:21192144:21192241:+@chr9:21192556:21192594:+@chr9:21192968:21193197:+,ILF3,
chr9:21936181:21936322:-@chr9:21934967:21935052:-@chr9:21934307:21934573:-,ACP5,
chr9:37040895:37040959:-@chr9:37040638:37040694:-@chr9:37036272:37039241:-,SLC37A2,
chr9:48301512:48301599:-@chr9:48298949:48299043:-@chr9:48296802:48298093:-,RBM7,LPS Response
chr9:48303260:48304463:-@chr9:48302388:48302492:-@chr9:48302124:48302286:-,RBM7,LPS Response
chr9:59519728:59519880:+@chr9:59522836:59523002:+@chr9:59523375:59523540:+@chr9:59525851:59526519:+,PKM2,
chr9:65980334:65980498:+@chr9:65981239:65981288:+@chr9:65984109:65984154:+,FAM96A,
chr9:75041580:75041944:+@chr9:75043933:75044007:+@chr9:75045450:75045543:+,MYO5A,
chr9:88610326:88611048:-@chr9:88598764:88598974:-@chr9:88581074:88583823:-,GM2382,
chrX:102262098:102262216:-@chrX:102243248:102243349:-@chrX:102235905:102239450:-,5530601H04RIK,
chrX:131137231:131137301:+@chrX:131137457:131137501:+@chrX:131139394:131141599:+,HNRNPH2,
chrX:133274344:133275026:-@chrX:133270086:133270161:-@chrX:133267481:133269040:-,MORF4L2,
chrX:133274344:133275026:-@chrX:133270087:133270161:-@chrX:133267481:133269040:-,MORF4L2,
chrX:71516199:71516363:+@chrX:71516700:71517057:+@chrX:71517139:71517246:+,RPL10,Housekeeping
chrX:82956390:82956470:-@chrX:82951577:82951663:-@chrX:82947269:82949735:-,GYK,LPS Response
chr10:33659964:33660189:-@chr10:33654895:33655063:-@chr10:33649962:33650150:-,ZUFSP,LPS Response
chr10:74982059:74982205:+@chr10:74994922:74994975:+@chr10:74998006:75000126:+,SNRPD3,
chr11:49058695:49059119:+@chr11:49065052:49065176:+@chr11:49074073:49076533:+,MGAT1,
chr11:69472068:69472200:-@chr11:69471438:69471558:-@chr11:69471227:69471345:-,MPDU1,
chr12:104673632:104673783:+@chr12:104674773:104674892:+@chr12:104677611:104677772:+,IFI27L1,
chr12:111808906:111808978:+@chr12:111812955:111813071:+@chr12:111818611:111821272:+,PPP2R5C,
chr13:112239141:112239207:-@chr13:112238104:112238163:-@chr13:112230840:112231024:-,GPBP1,
chr14:103571784:103571906:-@chr14:103569074:103569229:-@chr14:103554341:103555984:-,MYCBP2,
chr1:58477927:58478152:-@chr1:58476965:58477055:-@chr1:58476511:58476577:-,CLK1,
chr16:38347125:38349415:+@chr16:38349763:38349817:+@chr16:38352712:38352852:+,COX17,
chr19:36519478:36519567:+@chr19:36525054:36525113:+@chr19:36530111:36535459:+,PCGF5,LPS Response
chr2:59185981:59186098:+@chr2:59190319:59190392:+@chr2:59192260:59193265:+,PKP4,
chr3:106524599:106525024:+@chr3:106534581:106536060:+@chr3:106537276:106537557:+,4933421E11RIK,
chr4:143002328:143002994:+@chr4:143006543:143006855:+@chr4:143007276:143007863:+,PRAMEF8,
chr4:150308396:150308520:+@chr4:150309531:150309665:+@chr4:150318882:150320213:+,TNFRSF9,
chr4:155004295:155004441:+@chr4:155008198:155008334:+@chr4:155012629:155012751:+,CDK11B,
chr5:108494692:108494984:+@chr5:108498181:108498542:+@chr5:108509844:108510078:+,MTF2,
chr5:23033715:23033880:-@chr5:23032608:23032633:-@chr5:23030842:23031563:-,SRPK2,
chr6:113220516:113220695:+@chr6:113227784:113227939:+@chr6:113230597:113231386:+,MTMR14,LPS Response
chr6:35001062:35001559:-@chr6:34974128:34974340:-@chr6:34972065:34973432:-,CNOT4,
chr6:7643109:7643285:-@chr6:7639252:7639523:-@chr6:7635169:7635406:-,ASNS,
chr8:13271590:13271720:-@chr8:13258947:13259043:-@chr8:13255960:13257976:-,DCUN1D2,
chr9:21333207:21333527:+@chr9:21340352:21340441:+@chr9:21343531:21343558:+,AB124611,
chr9:21548366:21548507:+@chr9:21548674:21548829:+@chr9:21550176:21550349:+,LDLR,
chr9:30976293:30976501:-@chr9:30975146:30975313:-@chr9:30972128:30972258:-,APLP2,
chr9:35042816:35043068:-@chr9:35034749:35034976:-@chr9:35031199:35031327:-,FAM118B,
chrX:71618530:71618688:-@chrX:71617953:71618021:-@chrX:71614552:71616350:-,SLC10A3,
chr11:115044939:115044998:-@chr11:115044669:115044748:-@chr11:115044143:115044579:-,NAT9,
chr11:115044939:115044998:-@chr11:115044669:115044763:-@chr11:115044143:115044579:-,NAT9,
chr11:29414917:29415034:-@chr11:29414432:29414522:-@chr11:29409712:29413676:-,PRORSD1,
chr11:3873200:3873371:+@chr11:3873452:3873541:+@chr11:3875532:3875648:+,PES1,
chr11:82625902:82626345:-@chr11:82624530:82624613:-@chr11:82623510:82623720:-,RFFL,LPS Response
chr11:85615287:85615454:+@chr11:85635524:85635614:+@chr11:85638704:85639560:+,BCAS3,
chr14:120795673:120795826:+@chr14:120803860:120803954:+@chr14:120828157:120830921:+,MBNL2,
chr15:12251188:12251711:+@chr15:12272792:12272906:+@chr15:12279123:12281360:+,GOLPH3,
chr15:57900874:57900984:-@chr15:57895610:57895735:-@chr15:57883779:57886637:-,ZHX1,
chr16:35347685:35347879:-@chr16:35329584:35329699:-@chr16:35318890:35318955:-,SEC22A,
chr16:8470855:8470958:+@chr16:8473924:8474059:+@chr16:8478060:8478422:+,METTL22,
chr17:64657963:64659007:-@chr17:64647065:64647250:-@chr17:64642180:64642365:-,PJA2,
chr19:3575641:3575755:-@chr19:3544108:3544255:-@chr19:3526579:3526934:-,PPP6R3,
chr19:53316994:53317117:+@chr19:53318800:53318895:+@chr19:53319488:53321888:+,ADD3,
chr3:106350611:106350838:+@chr3:106353417:106353593:+@chr3:106355074:106355198:+,CEPT1,LPS Response
chr3:87722991:87723627:+@chr3:87723725:87723750:+@chr3:87725739:87725970:+,MRPL24,
chr5:115195438:115195580:-@chr5:115193740:115193889:-@chr5:115188339:115189290:-,GIT2,
chr5:9127957:9128108:-@chr5:9126540:9126749:-@chr5:9124438:9124527:-,DMTF1,
chr6:145180615:145180774:-@chr6:145173594:145173717:-@chr6:145165219:145169244:-,KRAS,
chr7:107776918:107776971:+@chr7:107778180:107778285:+@chr7:107778352:107778457:+@chr7:107780256:107780392:+,RAB6A,
chr8:67483244:67483508:+@chr8:67488097:67488431:+@chr8:67489438:67489540:+,TMEM192,
chr8:74891803:74891885:-@chr8:74869865:74870070:-@chr8:74864557:74865423:-,EPS15L1,
chr8:74891803:74891885:-@chr8:74882212:74882344:-@chr8:74866527:74870070:-,EPS15L1,
chr8:86257313:86257465:-@chr8:86254010:86254156:-@chr8:86253281:86253424:-,CD97,
chr8:86257313:86257465:-@chr8:86255802:86255936:-@chr8:86254010:86254156:-,CD97,
chr8:86784193:86784365:-@chr8:86783012:86783150:-@chr8:86781666:86782825:-,CCDC130,
chr9:57608631:57608847:-@chr9:57606434:57606530:-@chr9:57606091:57606157:-,CLK3,
chr9:69863099:69863217:+@chr9:69863575:69863744:+@chr9:69864626:69866272:+,GTF2A2,
chrX:39619263:39619452:+@chrX:39619543:39619653:+@chrX:39622558:39622684:+,STAG2,
chr10:79277930:79277986:+@chr10:79279537:79279668:+@chr10:79281786:79283668:+,PALM,
chr11:120474693:120474903:-@chr11:120474160:120474397:-@chr11:120473315:120473915:-,PCYT2,
chr1:136251238:136251418:-@chr1:136249552:136249714:-@chr1:136248932:136249012:-,TMEM183A,
chr1:145649265:145649363:+@chr1:145650058:145650207:+@chr1:145653814:145654596:+,UCHL5,
chr13:14121543:14121673:-@chr13:14119965:14120049:-@chr13:14111505:14112154:-,TBCE,
chr13:36209280:36209874:+@chr13:36240230:36240313:+@chr13:36296378:36297010:+,FARS2,
chr15:43114149:43114345:-@chr15:43112565:43112774:-@chr15:43109854:43109968:-,EIF3E,
chr16:32092430:32092571:-@chr16:32087380:32087593:-@chr16:32085323:32085423:-,PIGX,
chr16:85056569:85056771:-@chr16:85043821:85043988:-@chr16:85030477:85030610:-,APP,
chr17:35282971:35283298:+@chr17:35283702:35283848:+@chr17:35284086:35284267:+,BAG6,
chr19:55817334:55817687:+@chr19:55829504:55829572:+@chr19:55892254:55892452:+,TCF7L2,
chr2:131036095:131036417:+@chr2:131036999:131037209:+@chr2:131038183:131039250:+,2310035K24RIK,
chr2:59963520:59963867:-@chr2:59914927:59914968:-@chr2:59842606:59844246:-,BAZ2B,
chr3:151402284:151402455:-@chr3:151401187:151401287:-@chr3:151393886:151395517:-,IFI44,LPS Response
chr3:60305100:60305345:+@chr3:60332678:60332900:+@chr3:60399516:60402024:+,MBNL1,
chr5:124864408:124864536:-@chr5:124863194:124863298:-@chr5:124860079:124860391:-,SBNO1,
chr5:90714066:90714168:-@chr5:90711876:90712628:-@chr5:90707268:90707416:-,ANKRD17,LPS Response
chr6:149258844:149258899:+@chr6:149266157:149266230:+@chr6:149273927:149278572:+,2810474O19RIK,LPS Response
chr6:149265856:149266230:+@chr6:149273254:149273322:+@chr6:149273927:149278572:+,2810474O19RIK,LPS Response
chr6:50095773:50095891:+@chr6:50101938:50102022:+@chr6:50108681:50108833:+,MPP6,
chr7:123560967:123562095:-@chr7:123549374:123549477:-@chr7:123537715:123537872:-,PIK3C2A,
chr7:148450974:148451438:-@chr7:148450392:148450682:-@chr7:148449558:148449947:-,IRF7,LPS Response
chr7:148496661:148497356:-@chr7:148487499:148487588:-@chr7:148483070:148483515:-,DEAF1,
chr7:26558362:26558512:-@chr7:26558118:26558144:-@chr7:26555652:26555784:-,AXL,
chr8:42378812:42379170:+@chr8:42389341:42389505:+@chr8:42394874:42395046:+,PCM1,
chr8:42399199:42399335:+@chr8:42401274:42401408:+@chr8:42407208:42407405:+,PCM1,
chrX:47915857:47916131:-@chrX:47913986:47914183:-@chrX:47909415:47911561:-,,
chr11:109324624:109324862:-@chr11:109321113:109321256:-@chr11:109319791:109319919:-,SLC16A6,
chr1:133594993:133595208:+@chr1:133602173:133602298:+@chr1:133608197:133612016:+,5430435G22RIK,
chr11:70730817:70731284:+@chr11:70732679:70732783:+@chr11:70734354:70734470:+,RABEP1,
chr1:187172623:187172714:+@chr1:187173716:187173760:+@chr1:187176061:187176258:+,BPNT1,
chr14:31867344:31867441:+@chr14:31869422:31869466:+@chr14:31874655:31874931:+,PBRM1,
chr14:70716245:70716431:-@chr14:70715471:70715640:-@chr14:70713408:70713577:-@chr14:70710663:70710782:-,SLC39A14,
chr16:45408969:45409166:-@chr16:45400335:45400416:-@chr16:45397082:45397408:-,CD200,LPS Response
chr17:33766034:33766161:+@chr17:33766567:33766643:+@chr17:33766742:33767024:+,ZFP414,
chr18:38460083:38460244:+@chr18:38461310:38461461:+@chr18:38467519:38468294:+,RNF14,
chr2:113962606:113962784:-@chr2:113960388:113960555:-@chr2:113958703:113958872:-,AQR,
chr2:131064472:131064646:+@chr2:131065188:131065278:+@chr2:131066051:131066228:+,MAVS,
chr2:181428584:181428804:-@chr2:181425938:181426059:-@chr2:181423476:181424481:-,RGS19,
chr2:32219276:32219499:+@chr2:32219739:32219854:+@chr2:32222823:32223052:+,CIZ1,
chr2:33320434:33321026:-@chr2:33317786:33317877:-@chr2:33305807:33310643:-,ZBTB43,
chr5:124193647:124193687:-@chr5:124192788:124192865:-@chr5:124190681:124190871:-,RSRC2,
chr7:31204723:31204873:-@chr7:31203638:31203661:-@chr7:31203107:31203238:-,HCST,
chr7:97326010:97326113:+@chr7:97330729:97330878:+@chr7:97337660:97337767:+,PICALM,
chr9:106587278:106587326:-@chr9:106584199:106584494:-@chr9:106575848:106576069:-,TEX264,
chr10:128138399:128138500:-@chr10:128137032:128137175:-@chr10:128136528:128136731:-,CDK2,
chr11:103256002:103256628:-@chr11:103248272:103248662:-@chr11:103241348:103241666:-,PLEKHM1,
chr11:116702383:116702669:-@chr11:116701762:116701859:-@chr11:116700283:116700442:-,JMJD6,
chr12:66156143:66156307:+@chr12:66156421:66156520:+@chr12:66156625:66156751:+,PRPF39,
chr13:101533505:101533556:-@chr13:101531716:101531879:-@chr13:101529636:101530149:-,CENPH,
chr13:120251563:120251926:+@chr13:120254818:120255111:+@chr13:120255674:120255763:+,4833420G17RIK,
chr13:120251563:120251926:+@chr13:120254881:120255111:+@chr13:120255674:120255763:+,4833420G17RIK,
chr14:8734398:8734515:+@chr14:8736976:8737238:+@chr14:8737892:8738489:+,FLNB,LPS Response
